timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1655379587344,3216,Op-6-ChangeTextureColor-10,200,OK,w3sd Workflow 1-10,text,true,,292,388,8,8,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,3216,1,0,0,0
1655379590276,3175,Op-6-ChangeTextureColor-7,200,OK,w3sd Workflow 1-7,text,true,,292,388,8,8,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,3175,1,0,0,0
1655379590560,3146,Op-7-ChangeTextureMaterial-10,200,OK,w3sd Workflow 1-10,text,true,,292,395,8,8,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3146,1,0,0,1
1655379593451,3123,Op-7-ChangeTextureMaterial-7,200,OK,w3sd Workflow 1-7,text,true,,292,395,8,8,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3123,1,0,0,0
1655379593706,3331,Op-8-GenerateAvatar-10,200,OK,w3sd Workflow 1-10,text,true,,292,364,8,8,http://192.168.0.87:5001/api/avatar,3331,1,0,0,0
1655379545900,51136,Workflow-User-10,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-10,,true,,3366,2383,8,8,null,51136,1,0,1,3
1655379596574,3103,Op-8-GenerateAvatar-7,200,OK,w3sd Workflow 1-7,text,true,,292,364,7,7,http://192.168.0.87:5001/api/avatar,3103,1,0,0,0
1655379545601,54075,Workflow-User-7,200,"Number of samples in transaction : 8, number of failing samples : 0",w3sd Workflow 1-7,,true,,3366,2383,7,7,null,54075,1,0,1,2
1655379545510,54629,Op-2-GetAnimations-6,200,OK,w3sd Workflow 1-6,text,true,,296,154,6,6,http://192.168.0.87:5001/api/model/character.fbx/animations,54629,1,0,0,0
1655379545315,57627,Op-2-GetAnimations-4,200,OK,w3sd Workflow 1-4,text,true,,296,154,6,6,http://192.168.0.87:5001/api/model/character.fbx/animations,57627,1,0,0,0
1655379600139,3103,Op-3-GetItems-6,200,OK,w3sd Workflow 1-6,text,true,,1298,154,6,6,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3103,1,0,0,1
1655379602942,3016,Op-3-GetItems-4,200,OK,w3sd Workflow 1-4,text,true,,1298,154,6,6,http://192.168.0.87:5001/api/model/character.fbx/assemblies,3016,1,0,0,0
1655379603242,3045,Op-4-HideElement-6,200,OK,w3sd Workflow 1-6,text,true,,292,424,6,6,http://192.168.0.87:5001/api/model/character.fbx/hide,3045,1,0,0,0
1655379605958,2943,Op-4-HideElement-4,200,OK,w3sd Workflow 1-4,text,true,,292,424,6,6,http://192.168.0.87:5001/api/model/character.fbx/hide,2943,1,0,0,0
1655379606287,3079,Op-5-ShowElement-6,200,OK,w3sd Workflow 1-6,text,true,,292,375,6,6,http://192.168.0.87:5001/api/model/character.fbx/show,3079,1,0,0,0
1655379608901,2987,Op-5-ShowElement-4,200,OK,w3sd Workflow 1-4,text,true,,292,375,6,6,http://192.168.0.87:5001/api/model/character.fbx/show,2987,1,0,0,0
1655379609366,2981,Op-6-ChangeTextureColor-6,200,OK,w3sd Workflow 1-6,text,true,,292,388,6,6,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,2981,1,0,0,0
1655379611889,3120,Op-6-ChangeTextureColor-4,200,OK,w3sd Workflow 1-4,text,true,,292,388,6,6,http://192.168.0.87:5001/api/model/character.fbx/texturecolor,3120,1,0,0,0
1655379612347,3027,Op-7-ChangeTextureMaterial-6,200,OK,w3sd Workflow 1-6,text,true,,292,395,6,6,http://192.168.0.87:5001/api/model/character.fbx/texturematerial,3027,1,0,0,0
