Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Op-4-HideElement-30,1,163907,163907,163907,163907,163907,163907,163907,0.000%,.00610,0.00,0.00
Op-6-ChangeTextureColor-28,1,5087,5087,5087,5087,5087,5087,5087,0.000%,.19658,0.06,0.07
Op-5-ShowElement-13,1,4570,4570,4570,4570,4570,4570,4570,0.000%,.21882,0.06,0.08
Op-5-ShowElement-30,1,3455,3455,3455,3455,3455,3455,3455,0.000%,.28944,0.08,0.11
Op-6-ChangeTextureColor-35,1,185286,185286,185286,185286,185286,185286,185286,0.000%,.00540,0.00,0.00
Op-6-ChangeTextureColor-30,1,3524,3524,3524,3524,3524,3524,3524,0.000%,.28377,0.08,0.11
Op-7-ChangeTextureMaterial-42,1,105002,105002,105002,105002,105002,105002,105002,0.000%,.00952,0.00,0.00
Op-7-ChangeTextureMaterial-30,1,3362,3362,3362,3362,3362,3362,3362,0.000%,.29744,0.08,0.11
Op-8-GenerateAvatar-42,1,3325,3325,3325,3325,3325,3325,3325,0.000%,.30075,0.09,0.11
Workflow-User-42,1,259563,259563,259563,259563,259563,259563,259563,0.000%,.00385,0.01,0.01
Op-8-GenerateAvatar-30,1,3555,3555,3555,3555,3555,3555,3555,0.000%,.28129,0.08,0.10
Workflow-User-30,1,260938,260938,260938,260938,260938,260938,260938,0.000%,.00383,0.01,0.01
Op-6-ChangeTextureColor-24,1,79335,79335,79335,79335,79335,79335,79335,0.000%,.01260,0.00,0.00
Op-4-HideElement-46,1,55387,55387,55387,55387,55387,55387,55387,0.000%,.01805,0.01,0.01
Op-7-ChangeTextureMaterial-28,1,19178,19178,19178,19178,19178,19178,19178,0.000%,.05214,0.01,0.02
Op-5-ShowElement-46,1,3444,3444,3444,3444,3444,3444,3444,0.000%,.29036,0.08,0.11
Op-8-GenerateAvatar-28,1,3398,3398,3398,3398,3398,3398,3398,0.000%,.29429,0.08,0.10
Workflow-User-28,1,269883,269883,269883,269883,269883,269883,269883,0.000%,.00371,0.01,0.01
Op-6-ChangeTextureColor-46,1,3316,3316,3316,3316,3316,3316,3316,0.000%,.30157,0.09,0.11
Op-7-ChangeTextureMaterial-34,1,145339,145339,145339,145339,145339,145339,145339,0.000%,.00688,0.00,0.00
Op-4-HideElement-15,1,156973,156973,156973,156973,156973,156973,156973,0.000%,.00637,0.00,0.00
Op-7-ChangeTextureMaterial-46,1,6293,6293,6293,6293,6293,6293,6293,0.000%,.15891,0.05,0.06
Op-2-GetAnimations-50,1,277060,277060,277060,277060,277060,277060,277060,0.000%,.00361,0.00,0.00
Op-5-ShowElement-15,1,3372,3372,3372,3372,3372,3372,3372,0.000%,.29656,0.08,0.11
Op-3-GetItems-50,1,3447,3447,3447,3447,3447,3447,3447,0.000%,.29011,0.37,0.04
Op-7-ChangeTextureMaterial-35,1,31196,31196,31196,31196,31196,31196,31196,0.000%,.03206,0.01,0.01
Op-2-GetAnimations-44,1,284059,284059,284059,284059,284059,284059,284059,0.000%,.00352,0.00,0.00
Op-8-GenerateAvatar-35,1,3334,3334,3334,3334,3334,3334,3334,0.000%,.29994,0.09,0.11
Workflow-User-35,1,287428,287428,287428,287428,287428,287428,287428,0.000%,.00348,0.01,0.01
Op-3-GetItems-44,1,3279,3279,3279,3279,3279,3279,3279,0.000%,.30497,0.39,0.05
Op-2-GetAnimations-6,1,291321,291321,291321,291321,291321,291321,291321,0.000%,.00343,0.00,0.00
Op-2-GetAnimations-32,1,290924,290924,290924,290924,290924,290924,290924,0.000%,.00344,0.00,0.00
Op-3-GetItems-6,1,3358,3358,3358,3358,3358,3358,3358,0.000%,.29780,0.38,0.04
Op-6-ChangeTextureColor-48,1,78383,78383,78383,78383,78383,78383,78383,0.000%,.01276,0.00,0.00
Op-7-ChangeTextureMaterial-48,1,3294,3294,3294,3294,3294,3294,3294,0.000%,.30358,0.09,0.12
Op-6-ChangeTextureColor-38,1,138133,138133,138133,138133,138133,138133,138133,0.000%,.00724,0.00,0.00
Op-6-ChangeTextureColor-2,1,116641,116641,116641,116641,116641,116641,116641,0.000%,.00857,0.00,0.00
Op-6-ChangeTextureColor-37,1,159700,159700,159700,159700,159700,159700,159700,0.000%,.00626,0.00,0.00
Op-7-ChangeTextureMaterial-2,1,3400,3400,3400,3400,3400,3400,3400,0.000%,.29412,0.08,0.11
Op-3-GetItems-32,1,13723,13723,13723,13723,13723,13723,13723,0.000%,.07287,0.09,0.01
Op-4-HideElement-32,1,3263,3263,3263,3263,3263,3263,3263,0.000%,.30647,0.09,0.13
Op-8-GenerateAvatar-2,1,3424,3424,3424,3424,3424,3424,3424,0.000%,.29206,0.08,0.10
Workflow-User-2,1,308526,308526,308526,308526,308526,308526,308526,0.000%,.00324,0.01,0.01
Op-5-ShowElement-32,1,3319,3319,3319,3319,3319,3319,3319,0.000%,.30130,0.09,0.11
Op-4-HideElement-20,1,119960,119960,119960,119960,119960,119960,119960,0.000%,.00834,0.00,0.00
Op-6-ChangeTextureColor-21,1,187721,187721,187721,187721,187721,187721,187721,0.000%,.00533,0.00,0.00
Op-5-ShowElement-20,1,3458,3458,3458,3458,3458,3458,3458,0.000%,.28918,0.08,0.11
Op-7-ChangeTextureMaterial-21,1,3311,3311,3311,3311,3311,3311,3311,0.000%,.30202,0.09,0.12
Op-6-ChangeTextureColor-20,1,3372,3372,3372,3372,3372,3372,3372,0.000%,.29656,0.08,0.11
Op-8-GenerateAvatar-21,1,3312,3312,3312,3312,3312,3312,3312,0.000%,.30193,0.09,0.11
Workflow-User-21,1,321449,321449,321449,321449,321449,321449,321449,0.000%,.00311,0.01,0.01
Op-6-ChangeTextureColor-13,1,72123,72123,72123,72123,72123,72123,72123,0.000%,.01387,0.00,0.01
Op-7-ChangeTextureMaterial-20,1,6470,6470,6470,6470,6470,6470,6470,0.000%,.15456,0.04,0.06
Op-7-ChangeTextureMaterial-5,1,165369,165369,165369,165369,165369,165369,165369,0.000%,.00605,0.00,0.00
Op-8-GenerateAvatar-20,1,3282,3282,3282,3282,3282,3282,3282,0.000%,.30469,0.09,0.11
Workflow-User-20,1,328164,328164,328164,328164,328164,328164,328164,0.000%,.00305,0.01,0.01
